sent,emot,emot_f,behav,behav_f
-100.0,Neutral,128,Neutral,152
-100.0,Gratefulness,4,Amusement,11
-69.5,Dishonesty,15,Relief,1
-68.69,Bias,2,Sadness,5
-61.59,Unlawfulness,8,Disgust,5
-61.59,Self-restraint,1,Joy,1
-60.5,Disagreement,2,Love,1
-54.9,Awareness,3,Excitement,2
-52.79,Initiative,1,Shame,2
-50.5,Unawareness,1,Surprise,2
-49.9,Violence,2,Compassion,1
-48.7,Honesty,3,Guilt,1
-48.4,Commitment,1,Happiness,1
-44.0,Passivity,3,,
-36.59,Irresponsibility,1,,
-35.2,Lack of intelligence,3,,
-32.59,Ignorance,3,,
-30.79,Seriousness,1,,
-26.39,Materialism,1,,
-25.2,Humour,6,,
-20.89,Negativity,1,,
-20.6,Solidarity,1,,
-20.2,Dynamism,1,,
-19.39,Competence,2,,
-19.29,Curiosity,1,,
-17.6,Insecurity,1,,
-17.6,Sedentariness,1,,
-17.6,Acceptance,1,,
-16.79,,,,
-15.39,,,,
-15.39,,,,
-14.69,,,,
-14.39,,,,
-14.39,,,,
-13.89,,,,
-13.89,,,,
-12.69,,,,
-12.5,,,,
-12.0,,,,
-12.0,,,,
-10.3,,,,
-10.0,,,,
-9.8,,,,
-9.19,,,,
-8.8,,,,
-8.8,,,,
-8.69,,,,
-8.3,,,,
-7.69,,,,
-7.69,,,,
-7.4,,,,
-6.59,,,,
-6.59,,,,
-5.9,,,,
-5.9,,,,
-5.8,,,,
-5.19,,,,
-5.09,,,,
-4.4,,,,
-4.4,,,,
-4.4,,,,
-4.4,,,,
-4.09,,,,
-3.9,,,,
-3.5,,,,
-3.09,,,,
-2.59,,,,
-2.5,,,,
-2.2,,,,
-2.09,,,,
-2.0,,,,
-1.89,,,,
-1.7,,,,
-1.7,,,,
-1.29,,,,
-1.0,,,,
-0.89,,,,
-0.69,,,,
-0.2,,,,
-0.2,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.1,,,,
0.4,,,,
0.5,,,,
0.5,,,,
0.6,,,,
0.69,,,,
0.89,,,,
1.0,,,,
1.0,,,,
1.2,,,,
1.79,,,,
1.79,,,,
1.79,,,,
1.79,,,,
1.89,,,,
2.09,,,,
2.09,,,,
2.2,,,,
2.2,,,,
2.2,,,,
2.29,,,,
2.5,,,,
2.59,,,,
2.7,,,,
2.9,,,,
3.0,,,,
3.2,,,,
3.2,,,,
3.2,,,,
3.79,,,,
3.9,,,,
4.0,,,,
4.19,,,,
4.3,,,,
5.19,,,,
5.4,,,,
5.4,,,,
5.4,,,,
5.69,,,,
5.8,,,,
6.0,,,,
6.4,,,,
6.8,,,,
6.8,,,,
6.9,,,,
7.9,,,,
8.19,,,,
8.6,,,,
8.69,,,,
9.3,,,,
9.6,,,,
9.6,,,,
9.89,,,,
11.3,,,,
11.6,,,,
12.8,,,,
13.0,,,,
13.1,,,,
15.0,,,,
16.2,,,,
16.39,,,,
16.39,,,,
16.39,,,,
16.39,,,,
20.7,,,,
32.9,,,,
35.4,,,,
38.4,,,,
38.4,,,,
54.79,,,,
