sent,emot,emot_f,behav,behav_f
-63.79,Neutral,145,Neutral,156
-52.79,Dishonesty,4,Amusement,12
-52.79,Disagreement,1,Satisfaction,1
-41.09,Unreservedness,2,Surprise,4
-41.09,Sexuality,3,Happiness,2
-32.29,Bias,2,Hatred,2
-30.79,Smartness,2,Offence,1
-26.39,Addiction,3,Like,2
-22.1,Seriousness,2,,
-22.0,Violence,7,,
-20.6,Unlawfulness,2,,
-20.6,Initiative,3,,
-20.6,Humour,4,,
-20.6,Organization,2,,
-17.6,Gratefulness,1,,
-17.6,Commitment,1,,
-17.6,Discrimination,1,,
-14.8,Insecurity,1,,
-13.19,Positivity,1,,
-12.6,,,,
-10.6,,,,
-9.19,,,,
-9.1,,,,
-8.5,,,,
-7.59,,,,
-7.4,,,,
-7.0,,,,
-6.9,,,,
-6.9,,,,
-5.8,,,,
-5.5,,,,
-5.3,,,,
-5.19,,,,
-4.59,,,,
-4.4,,,,
-3.7,,,,
-3.2,,,,
-3.09,,,,
-2.29,,,,
-1.89,,,,
-1.89,,,,
-1.79,,,,
-1.39,,,,
-1.29,,,,
-1.1,,,,
-0.8,,,,
-0.5,,,,
-0.5,,,,
-0.5,,,,
-0.4,,,,
-0.2,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.2,,,,
0.3,,,,
0.5,,,,
0.6,,,,
0.6,,,,
0.69,,,,
1.2,,,,
1.6,,,,
1.7,,,,
1.89,,,,
1.89,,,,
2.09,,,,
2.2,,,,
2.29,,,,
2.29,,,,
2.4,,,,
2.59,,,,
2.7,,,,
2.7,,,,
3.2,,,,
3.4,,,,
3.4,,,,
3.59,,,,
3.59,,,,
3.59,,,,
3.9,,,,
4.09,,,,
4.4,,,,
4.5,,,,
4.5,,,,
4.59,,,,
4.69,,,,
5.5,,,,
5.59,,,,
6.0,,,,
6.09,,,,
6.4,,,,
6.4,,,,
6.9,,,,
7.19,,,,
7.4,,,,
7.59,,,,
7.59,,,,
8.19,,,,
8.5,,,,
8.69,,,,
8.69,,,,
11.39,,,,
12.8,,,,
13.3,,,,
13.69,,,,
13.8,,,,
13.89,,,,
15.5,,,,
16.39,,,,
16.39,,,,
16.5,,,,
18.29,,,,
19.2,,,,
19.2,,,,
21.89,,,,
22.29,,,,
23.39,,,,
24.7,,,,
25.6,,,,
30.1,,,,
31.1,,,,
31.1,,,,
31.2,,,,
38.4,,,,
38.4,,,,
46.59,,,,
46.59,,,,
54.79,,,,
54.79,,,,
54.79,,,,
100.0,,,,
