sent,emot,emot_f,behav,behav_f
-100.0,Neutral,137,Neutral,172
-100.0,Gratefulness,1,Surprise,5
-100.0,Addiction,5,Amusement,4
-95.19,Violence,29,Disgust,1
-88.0,Humour,3,Anger,2
-88.0,Ignorance,1,Irritation,1
-79.19,Unlawfulness,4,Sadness,1
-74.8,Irresponsibility,2,Hatred,1
-64.0,Lack of intelligence,8,Excitement,1
-61.59,Solidarity,1,Embarrassment,1
-61.59,Seriousness,1,,
-52.79,Acceptance,2,,
-52.79,Dynamism,1,,
-52.79,Organization,3,,
-52.79,Bias,2,,
-49.9,Initiative,1,,
-47.0,Rationality,1,,
-47.0,Knowledge,1,,
-46.2,Positivity,1,,
-44.0,,,,
-37.4,,,,
-37.4,,,,
-35.2,,,,
-35.2,,,,
-30.79,,,,
-30.79,,,,
-30.79,,,,
-29.39,,,,
-28.39,,,,
-27.29,,,,
-26.39,,,,
-23.39,,,,
-22.0,,,,
-22.0,,,,
-20.6,,,,
-20.6,,,,
-20.6,,,,
-20.6,,,,
-20.0,,,,
-17.6,,,,
-17.6,,,,
-16.5,,,,
-14.19,,,,
-13.8,,,,
-13.19,,,,
-13.19,,,,
-12.39,,,,
-12.39,,,,
-12.3,,,,
-11.0,,,,
-10.5,,,,
-10.3,,,,
-10.1,,,,
-9.3,,,,
-9.0,,,,
-8.8,,,,
-8.8,,,,
-8.8,,,,
-7.69,,,,
-7.5,,,,
-7.09,,,,
-7.09,,,,
-6.9,,,,
-6.59,,,,
-6.4,,,,
-5.59,,,,
-4.8,,,,
-4.4,,,,
-4.3,,,,
-4.19,,,,
-4.0,,,,
-3.5,,,,
-2.7,,,,
-2.59,,,,
-2.5,,,,
-2.2,,,,
-2.0,,,,
-0.6,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.0,,,,
0.2,,,,
0.3,,,,
0.6,,,,
0.89,,,,
1.29,,,,
1.39,,,,
1.6,,,,
1.79,,,,
1.79,,,,
2.0,,,,
3.2,,,,
3.2,,,,
3.2,,,,
3.29,,,,
4.09,,,,
4.3,,,,
4.3,,,,
4.8,,,,
4.8,,,,
5.4,,,,
5.4,,,,
5.59,,,,
6.0,,,,
6.8,,,,
7.0,,,,
7.59,,,,
8.19,,,,
8.19,,,,
8.5,,,,
9.6,,,,
9.6,,,,
10.89,,,,
12.8,,,,
12.8,,,,
16.39,,,,
16.39,,,,
21.89,,,,
26.0,,,,
32.9,,,,
38.4,,,,
38.4,,,,
38.4,,,,
